"nemotecnico","run","clase"
"CFMESTAESP","8536","RV Nacional"
"CFMESTAESR","8536","RV Nacional"
"CFMESTAESV","8536","RV Nacional"
"CFMESTASOF","8319","RF Nacional"
"CFMESTBESC","8744","RV Nacional"
"CFMESTBESP","8744","RV Nacional"
"CFMESTBESR","8744","RV Nacional"
"CFMESTBESV","8744","RV Nacional"
"CFMESTBTEC","8753","RF Nacional"
"CFMESTBTEP","8753","RF Nacional"
"CFMESTBTER","8753","RF Nacional"
"CFMESTBTEV","8753","RF Nacional"
"CFMESTCOMA","8317","RF Nacional"
"CFMESTCOMB","8317","RF Nacional"
"CFMESTCOMC","8317","RF Nacional"
"CFMESTCOMF","8317","RF Nacional"
"CFMESTCOMI","8317","RF Nacional"
"CFMESTCONA","8320","RF Nacional"
"CFMESTCONB","8320","RF Nacional"
"CFMESTCONC","8320","RF Nacional"
"CFMESTCONI","8320","RF Nacional"
"CFMESTDDIA","9104","RF Nacional"
"CFMESTDDIB","9104","RF Nacional"
"CFMESTDDIC","9104","RF Nacional"
"CFMESTDDII","9104","RF Nacional"
"CFMESTMRBA","8807","RF Nacional"
"CFMESTMRBB","8807","RF Nacional"
"CFMESTMRBC","8807","RF Nacional"
"CFMESTMRBF","8807","RF Nacional"
"CFMESTPAAC","8844","Balanceados Nacional"
"CFMESTPAAP","8844","Balanceados Nacional"
"CFMESTPAAR","8844","Balanceados Nacional"
"CFMESTPAAV","8844","Balanceados Nacional"
"CFMESTPMCC","8845","Balanceados Nacional"
"CFMESTPMCP","8845","Balanceados Nacional"
"CFMESTPMCR","8845","Balanceados Nacional"
"CFMESTPMCV","8845","Balanceados Nacional"
"CFMESTPMEC","8846","Balanceados Nacional"
"CFMESTPMEP","8846","Balanceados Nacional"
"CFMESTPMER","8846","Balanceados Nacional"
"CFMESTPMEV","8846","Balanceados Nacional"
"CFMESTPRBI","8807","RF Nacional"
"CFMESTPROA","8316","RF Nacional"
"CFMESTPROB","8316","RF Nacional"
"CFMESTPROC","8316","RF Nacional"
"CFMESTPROF","8316","RF Nacional"
"CFMESTPROI","8316","RF Nacional"
"CFMESTRTFA","9074","RF Nacional"
"CFMESTRTFB","9074","RF Nacional"
"CFMESTRTFC","9074","RF Nacional"
"CFMESTRTFI","9074","RF Nacional"
"CFMESTSLVA","8319","RF Nacional"
"CFMESTSLVB","8319","RF Nacional"
"CFMESTSLVC","8319","RF Nacional"
"CFMESTSLVI","8319","RF Nacional"
"CFMEURAGRA","9576","Balanceados Nacional"
"CFMEURAGRD","9576","Balanceados Nacional"
"CFMEURASIA","8457","RV Nacional"
"CFMEURASID","8457","RV Nacional"
"CFMEURC18D","8381","RV Nacional"
"CFMEURCHCA","8381","RV Nacional"
"CFMEURCHCE","8381","RV Nacional"
"CFMEURCONA","9575","Balanceados Nacional"
"CFMEURCOND","9575","Balanceados Nacional"
"CFMEURDALE","8918","RV Nacional"
"CFMEURDCCA","9054","RF Nacional"
"CFMEURDLCA","8918","RV Nacional"
"CFMEURDLCD","8918","RV Nacional"
"CFMEURDOLD","8629","RF Nacional"
"CFMEURDOLE","8629","RF Nacional"
"CFMEUREARA","8629","RF Nacional"
"CFMEUREETA","8459","RF Nacional"
"CFMEUREETD","8459","RF Nacional"
"CFMEURELED","9054","RF Nacional"
"CFMEURERPA","8456","RV Nacional"
"CFMEURERPD","8456","RV Nacional"
"CFMEURESGA","9625","RV Nacional"
"CFMEURMMKE","8459","RF Nacional"
"CFMEURMODA","9577","Balanceados Nacional"
"CFMEURMODD","9577","Balanceados Nacional"
"CFMEURRNOA","8411","RF Nacional"
"CFMEURRNOD","8411","RF Nacional"
"CFMEURRPLA","8363","RF Nacional"
"CFMEURRPLD","8363","RF Nacional"
"CFMEURRUFA","8853","RF Nacional"
"CFMEURRUFD","8853","RF Nacional"
"CFMEURSASE","8455","RF Nacional"
"CFMEURUSAA","8458","RV Nacional"
"CFMEURUSAD","8458","RV Nacional"
"CFMFTLCCA","9568","Balanceados Nacional"
"CFMFTLMPA","9569","Balanceados Nacional"
"CFMFTLRNA","9570","Balanceados Nacional"
"CFMFTLVCSA","9730","Balanceados Nacional"
"CFMIMTAAGA","8427","RV Nacional"
"CFMIMTDEUA","9056","RF Nacional"
"CFMIMTDEUB","9056","RF Nacional"
"CFMIMTDEUE","9056","RF Nacional"
"CFMIMTDEUI","9056","RF Nacional"
"CFMIMTIRIA","8442","RF Nacional"
"CFMIMTLIQA","8401","RF Nacional"
"CFMIMTLIQB","8401","RF Nacional"
"CFMIMTLIQF","8401","RF Nacional"
"CFMIMTLIQI","8401","RF Nacional"
"CFMIMTLIQM","8401","RF Nacional"
"CFMIMTRCAA","8421","RF Nacional"
"CFMIMTRINT","8442","RF Nacional"
"CFMITAAEF1","9922","RV Nacional"
"CFMITAAEF2","9922","RV Nacional"
"CFMITAAEF3","9922","RV Nacional"
"CFMITAAEIT","9922","RV Nacional"
"CFMITAALF1","9926","RV Nacional"
"CFMITAALF2","9926","RV Nacional"
"CFMITAALF3","9926","RV Nacional"
"CFMITAAPD1","9539","RF Nacional"
"CFMITAAPD4","9539","RF Nacional"
"CFMITAAPD5","9539","RF Nacional"
"CFMITAAPIT","9539","RF Nacional"
"CFMITABAF1","8799","RV Nacional"
"CFMITABAF2","8799","RV Nacional"
"CFMITABAF3","8799","RV Nacional"
"CFMITABAF4","8799","RV Nacional"
"CFMITABAF5","8799","RV Nacional"
"CFMITABAIT","8799","RV Nacional"
"CFMITACAIT","9926","RV Nacional"
"CFMITACDM1","8333","RF Nacional"
"CFMITACDM2","8333","RF Nacional"
"CFMITACDM3","8333","RF Nacional"
"CFMITACDM4","8333","RF Nacional"
"CFMITACDM5","8333","RF Nacional"
"CFMITACNM1","8234","RF Nacional"
"CFMITADCAP","9248","RF Nacional"
"CFMITADCCI","9248","RF Nacional"
"CFMITADCCU","9248","RF Nacional"
"CFMITADCIT","9248","RF Nacional"
"CFMITADP2F","9717","RF Nacional"
"CFMITADP5F","9717","RF Nacional"
"CFMITADPF4","9717","RF Nacional"
"CFMITADPIT","9717","RF Nacional"
"CFMITADUIT","9201","RF Nacional"
"CFMITAFD4F","8959","RF Nacional"
"CFMITAFDF2","8959","RF Nacional"
"CFMITAFDF5","8959","RF Nacional"
"CFMITAFDIS","8959","RF Nacional"
"CFMITAFDIT","8959","RF Nacional"
"CFMITAGAF1","8993","Balanceados Nacional"
"CFMITAGAF2","8993","Balanceados Nacional"
"CFMITAGAF3","8993","Balanceados Nacional"
"CFMITAGAF4","8993","Balanceados Nacional"
"CFMITAGAF5","8993","Balanceados Nacional"
"CFMITAGAGS","8993","Balanceados Nacional"
"CFMITAGAIT","8993","Balanceados Nacional"
"CFMITAGAS2","8993","Balanceados Nacional"
"CFMITAGBF1","9931","RV Nacional"
"CFMITAGBF2","9931","RV Nacional"
"CFMITAGBF3","9931","RV Nacional"
"CFMITAGBIT","9931","RV Nacional"
"CFMITAGCF1","8994","Balanceados Nacional"
"CFMITAGCF2","8994","Balanceados Nacional"
"CFMITAGCF3","8994","Balanceados Nacional"
"CFMITAGCF4","8994","Balanceados Nacional"
"CFMITAGCF5","8994","Balanceados Nacional"
"CFMITAGCIT","8994","Balanceados Nacional"
"CFMITAGCOS","8994","Balanceados Nacional"
"CFMITAGEF1","8971","RV Nacional"
"CFMITAGEF2","8971","RV Nacional"
"CFMITAGEF3","8971","RV Nacional"
"CFMITAGEF4","8971","RV Nacional"
"CFMITAGEF5","8971","RV Nacional"
"CFMITAGEIT","8971","RV Nacional"
"CFMITAGESS","8971","RV Nacional"
"CFMITAGGS2","8994","Balanceados Nacional"
"CFMITAGMF1","8992","Balanceados Nacional"
"CFMITAGMF2","8992","Balanceados Nacional"
"CFMITAGMF3","8992","Balanceados Nacional"
"CFMITAGMF4","8992","Balanceados Nacional"
"CFMITAGMF5","8992","Balanceados Nacional"
"CFMITAGMIT","8992","Balanceados Nacional"
"CFMITAGMOS","8992","Balanceados Nacional"
"CFMITAGMS2","8992","Balanceados Nacional"
"CFMITAINF1","9921","RF Nacional"
"CFMITAINF2","9921","RF Nacional"
"CFMITAINF3","9921","RF Nacional"
"CFMITAINIT","9921","RF Nacional"
"CFMITAIUES","8352","RF Nacional"
"CFMITALCF1","8254","RF Nacional"
"CFMITALCF2","8254","RF Nacional"
"CFMITALCF3","8254","RF Nacional"
"CFMITALCF4","8254","RF Nacional"
"CFMITALCF5","8254","RF Nacional"
"CFMITALCF6","8254","RF Nacional"
"CFMITALCIT","8254","RF Nacional"
"CFMITALPAS","8979","RV Nacional"
"CFMITALPF1","8979","RV Nacional"
"CFMITALPF2","8979","RV Nacional"
"CFMITALPF3","8979","RV Nacional"
"CFMITALPF4","8979","RV Nacional"
"CFMITALPF5","8979","RV Nacional"
"CFMITALPIT","8979","RV Nacional"
"CFMITAMPIT","8620","RF Nacional"
"CFMITANEAP","8305","RV Nacional"
"CFMITANEF4","8305","RV Nacional"
"CFMITANEF5","8305","RV Nacional"
"CFMITANEIT","8305","RV Nacional"
"CFMITANEQS","8305","RV Nacional"
"CFMITARDF4","9834","RF Nacional"
"CFMITARDF5","9834","RF Nacional"
"CFMITARDIT","9834","RF Nacional"
"CFMITASEIT","8338","RF Nacional"
"CFMITASELS","8338","RF Nacional"
"CFMITASEM1","8338","RF Nacional"
"CFMITASEM2","8338","RF Nacional"
"CFMITASEM3","8338","RF Nacional"
"CFMITASEM4","8338","RF Nacional"
"CFMITASEM5","8338","RF Nacional"
"CFMITASEM6","8338","RF Nacional"
"CFMITATEF1","9936","RV Nacional"
"CFMITATEF2","9936","RV Nacional"
"CFMITATEF3","9936","RV Nacional"
"CFMITATEIT","9936","RV Nacional"
"CFMITATUF1","8479","RV Nacional"
"CFMITATUF2","8479","RV Nacional"
"CFMITATUF3","8479","RV Nacional"
"CFMITATUF4","8479","RV Nacional"
"CFMITATUF5","8479","RV Nacional"
"CFMITATUIT","8479","RV Nacional"
"CFMITAUAF1","9932","RV Nacional"
"CFMITAUAF2","9932","RV Nacional"
"CFMITAUAF3","9932","RV Nacional"
"CFMITAUAIT","9932","RV Nacional"
"CFMITAUPAP","9201","RF Nacional"
"CFMITAUPF4","9201","RF Nacional"
"CFMITAUPF5","9201","RF Nacional"
"CFMITAVAF2","8352","RF Nacional"
"CFMITAVAF4","8352","RF Nacional"
"CFMITAVAF5","8352","RF Nacional"
"CFMITAVAIT","8352","RF Nacional"
"CFMITNIPSA","9019","RV Nacional"
"CFMITTUSAS","8479","RV Nacional"
"CFMLVACAPL","8263","RF Nacional"
"CFMLVACNAA","8872","RV Nacional"
"CFMLVACNAF","8872","RV Nacional"
"CFMLVACNAI","8872","RV Nacional"
"CFMLVACNAL","8872","RV Nacional"
"CFMLVACNAP","8872","RV Nacional"
"CFMLVACNAX","8872","RV Nacional"
"CFMLVAHCAF","8263","RF Nacional"
"CFMLVAHCAI","8263","RF Nacional"
"CFMLVAHCAP","8263","RF Nacional"
"CFMLVAHCAX","8263","RF Nacional"
"CFMLVAHCOA","8315","RF Nacional"
"CFMLVAHCOF","8315","RF Nacional"
"CFMLVAHCOI","8315","RF Nacional"
"CFMLVAHCOL","8315","RF Nacional"
"CFMLVAHCOP","8315","RF Nacional"
"CFMLVAHCPP","8263","RF Nacional"
"CFMLVAHDOA","9221","RF Nacional"
"CFMLVAHDOF","9221","RF Nacional"
"CFMLVAHDOI","9221","RF Nacional"
"CFMLVAHDOP","9221","RF Nacional"
"CFMLVAHESD","8240","RF Nacional"
"CFMLVAHESF","8240","RF Nacional"
"CFMLVAHESI","8240","RF Nacional"
"CFMLVAHESP","8240","RF Nacional"
"CFMLVAHEST","8240","RF Nacional"
"CFMLVAHO-D","8755","RF Nacional"
"CFMLVAHORL","8755","RF Nacional"
"CFMLVAPLAF","8755","RF Nacional"
"CFMLVAPLAI","8755","RF Nacional"
"CFMLVAPLAP","8755","RF Nacional"
"CFMLVAPLAZ","8755","RF Nacional"
"CFMLVASIAA","9023","RV Nacional"
"CFMLVASIAF","9023","RV Nacional"
"CFMLVASIAI","9023","RV Nacional"
"CFMLVASIAL","9023","RV Nacional"
"CFMLVASIAP","9023","RV Nacional"
"CFMLVBHYGA","8172","RF Nacional"
"CFMLVBHYGF","8172","RF Nacional"
"CFMLVBHYGL","8172","RF Nacional"
"CFMLVBHYGP","8172","RF Nacional"
"CFMLVBLATI","8502","RF Nacional"
"CFMLVBOLAQ","8502","RF Nacional"
"CFMLVBOLTA","8502","RF Nacional"
"CFMLVBOLTF","8502","RF Nacional"
"CFMLVBOLTP","8502","RF Nacional"
"CFMLVBONLL","8502","RF Nacional"
"CFMLVCAADA","10002","Balanceados Nacional"
"CFMLVCAADF","10002","Balanceados Nacional"
"CFMLVCACDA","9853","Balanceados Nacional"
"CFMLVCACDF","9853","Balanceados Nacional"
"CFMLVCACDI","9853","Balanceados Nacional"
"CFMLVCAMDA","9816","Balanceados Nacional"
"CFMLVCAMDF","9816","Balanceados Nacional"
"CFMLVCAMDI","9816","Balanceados Nacional"
"CFMLVCAMDT","9816","Balanceados Nacional"
"CFMLVCASHA","8177","RF Nacional"
"CFMLVCASHI","8177","RF Nacional"
"CFMLVCASHL","8177","RF Nacional"
"CFMLVCASHP","8177","RF Nacional"
"CFMLVCHSF","8177","RF Nacional"
"CFMLVEEUUA","8437","RV Nacional"
"CFMLVEEUUF","8437","RV Nacional"
"CFMLVEEUUI","8437","RV Nacional"
"CFMLVEEUUL","8437","RV Nacional"
"CFMLVEEUUP","8437","RV Nacional"
"CFMLVENFOL","8723","RV Nacional"
"CFMLVENFQA","8723","RV Nacional"
"CFMLVENFQF","8723","RV Nacional"
"CFMLVENFQI","8723","RV Nacional"
"CFMLVENFQP","8723","RV Nacional"
"CFMLVESAGA","9193","Balanceados Nacional"
"CFMLVESAGD","9193","Balanceados Nacional"
"CFMLVESAGL","9193","Balanceados Nacional"
"CFMLVESAGQ","9193","Balanceados Nacional"
"CFMLVESAGX","9193","Balanceados Nacional"
"CFMLVESCOA","9192","Balanceados Nacional"
"CFMLVESCOD","9192","Balanceados Nacional"
"CFMLVESCOI","9192","Balanceados Nacional"
"CFMLVESCOL","9192","Balanceados Nacional"
"CFMLVESCOQ","9192","Balanceados Nacional"
"CFMLVESCOX","9192","Balanceados Nacional"
"CFMLVESMOA","9190","Balanceados Nacional"
"CFMLVESMOD","9190","Balanceados Nacional"
"CFMLVESMOI","9190","Balanceados Nacional"
"CFMLVESMOL","9190","Balanceados Nacional"
"CFMLVESMOX","9190","Balanceados Nacional"
"CFMLVESTRL","8240","RF Nacional"
"CFMLVEUROA","9027","RV Nacional"
"CFMLVEUROF","9027","RV Nacional"
"CFMLVEUROI","9027","RV Nacional"
"CFMLVEUROL","9027","RV Nacional"
"CFMLVEUROP","9027","RV Nacional"
"CFMLVLATIF","8705","RV Nacional"
"CFMLVLATII","8705","RV Nacional"
"CFMLVLATIL","8705","RV Nacional"
"CFMLVLATIN","8705","RV Nacional"
"CFMLVLATIP","8705","RV Nacional"
"CFMLVLIDEI","8245","Balanceados Nacional"
"CFMLVLIDEL","8245","Balanceados Nacional"
"CFMLVLIDEP","8245","Balanceados Nacional"
"CFMLVMMAKA","8606","RF Nacional"
"CFMLVMMAKF","8606","RF Nacional"
"CFMLVMMAKI","8606","RF Nacional"
"CFMLVMONEL","8606","RF Nacional"
"CFMLVPOLID","8245","Balanceados Nacional"
"CFMLVPOLIF","8245","Balanceados Nacional"
"CFMLVPROTA","8788","Balanceados Nacional"
"CFMLVPROTF","8788","Balanceados Nacional"
"CFMLVPROTI","8788","Balanceados Nacional"
"CFMLVPROTP","8788","Balanceados Nacional"
"CFMLVPROTX","8788","Balanceados Nacional"
"CFMPRIAAGL","9593","Balanceados Nacional"
"CFMPRIAAIV","9593","Balanceados Nacional"
"CFMPRIAAPT","9593","Balanceados Nacional"
"CFMPRIACGL","9595","Balanceados Nacional"
"CFMPRIACIV","9595","Balanceados Nacional"
"CFMPRIACPT","9595","Balanceados Nacional"
"CFMPRIAMGL","9594","Balanceados Nacional"
"CFMPRIAMIV","9594","Balanceados Nacional"
"CFMPRIAMPT","9594","Balanceados Nacional"
"CFMPRIASGL","8438","RV Nacional"
"CFMPRIASIB","8438","RV Nacional"
"CFMPRIASIG","8438","RV Nacional"
"CFMPRIASIH","8438","RV Nacional"
"CFMPRIASIK","8438","RV Nacional"
"CFMPRIASIO","8438","RV Nacional"
"CFMPRIASIP","8438","RV Nacional"
"CFMPRIASIV","8438","RV Nacional"
"CFMPRIASPT","8438","RV Nacional"
"CFMPRICAGL","8038","RV Nacional"
"CFMPRICAIV","8038","RV Nacional"
"CFMPRICAPB","8038","RV Nacional"
"CFMPRICAPG","8038","RV Nacional"
"CFMPRICAPH","8038","RV Nacional"
"CFMPRICAPK","8038","RV Nacional"
"CFMPRICAPO","8038","RV Nacional"
"CFMPRICAPP","8038","RV Nacional"
"CFMPRICAPT","8038","RV Nacional"
"CFMPRIDCGL","8250","RF Nacional"
"CFMPRIDCIV","8250","RF Nacional"
"CFMPRIDCPB","8250","RF Nacional"
"CFMPRIDCPG","8250","RF Nacional"
"CFMPRIDCPH","8250","RF Nacional"
"CFMPRIDCPK","8250","RF Nacional"
"CFMPRIDCPO","8250","RF Nacional"
"CFMPRIDCPP","8250","RF Nacional"
"CFMPRIDCPT","8250","RF Nacional"
"CFMPRIDEIH","8619","RF Nacional"
"CFMPRIDEIK","8619","RF Nacional"
"CFMPRIDEIP","8619","RF Nacional"
"CFMPRIDFGL","8251","Balanceados Nacional"
"CFMPRIDFIV","8251","Balanceados Nacional"
"CFMPRIDFLB","8251","Balanceados Nacional"
"CFMPRIDFLG","8251","Balanceados Nacional"
"CFMPRIDFLH","8251","Balanceados Nacional"
"CFMPRIDFLK","8251","Balanceados Nacional"
"CFMPRIDFLP","8251","Balanceados Nacional"
"CFMPRIDFPT","8251","Balanceados Nacional"
"CFMPRIDIGL","8619","RF Nacional"
"CFMPRIDII2","8619","RF Nacional"
"CFMPRIDIIV","8619","RF Nacional"
"CFMPRIDIPT","8619","RF Nacional"
"CFMPRIDMGL","8422","RF Nacional"
"CFMPRIDMIV","8422","RF Nacional"
"CFMPRIDMPB","8422","RF Nacional"
"CFMPRIDMPG","8422","RF Nacional"
"CFMPRIDMPH","8422","RF Nacional"
"CFMPRIDMPK","8422","RF Nacional"
"CFMPRIDMPO","8422","RF Nacional"
"CFMPRIDMPP","8422","RF Nacional"
"CFMPRIDMPT","8422","RF Nacional"
"CFMPRIDUFG","9597","RF Nacional"
"CFMPRIDUFH","9597","RF Nacional"
"CFMPRIDUFK","9597","RF Nacional"
"CFMPRIDUFO","9597","RF Nacional"
"CFMPRIDUFP","9597","RF Nacional"
"CFMPRIEEGL","8610","RV Nacional"
"CFMPRIEEIV","8610","RV Nacional"
"CFMPRIEEPT","8610","RV Nacional"
"CFMPRIEQUB","8097","RV Nacional"
"CFMPRIEUEB","8610","RV Nacional"
"CFMPRIEUEG","8610","RV Nacional"
"CFMPRIEUEH","8610","RV Nacional"
"CFMPRIEUEK","8610","RV Nacional"
"CFMPRIEUEO","8610","RV Nacional"
"CFMPRIEUEP","8610","RV Nacional"
"CFMPRIEUIV","8097","RV Nacional"
"CFMPRIEUPT","8097","RV Nacional"
"CFMPRIEURG","8097","RV Nacional"
"CFMPRIEURH","8097","RV Nacional"
"CFMPRIEURK","8097","RV Nacional"
"CFMPRIEURO","8097","RV Nacional"
"CFMPRIEURP","8097","RV Nacional"
"CFMPRIGAAB","9593","Balanceados Nacional"
"CFMPRIGAAG","9593","Balanceados Nacional"
"CFMPRIGAAH","9593","Balanceados Nacional"
"CFMPRIGAAK","9593","Balanceados Nacional"
"CFMPRIGAAP","9593","Balanceados Nacional"
"CFMPRIGACB","9595","Balanceados Nacional"
"CFMPRIGACG","9595","Balanceados Nacional"
"CFMPRIGACH","9595","Balanceados Nacional"
"CFMPRIGACK","9595","Balanceados Nacional"
"CFMPRIGACP","9595","Balanceados Nacional"
"CFMPRIGAMB","9594","Balanceados Nacional"
"CFMPRIGAMG","9594","Balanceados Nacional"
"CFMPRIGAMH","9594","Balanceados Nacional"
"CFMPRIGAMK","9594","Balanceados Nacional"
"CFMPRIGAMP","9594","Balanceados Nacional"
"CFMPRIGMAB","8824","Balanceados Nacional"
"CFMPRIGMAG","8824","Balanceados Nacional"
"CFMPRIGMAH","8824","Balanceados Nacional"
"CFMPRIGMAK","8824","Balanceados Nacional"
"CFMPRIGMAO","8824","Balanceados Nacional"
"CFMPRIGMAP","8824","Balanceados Nacional"
"CFMPRIGMCB","9596","Balanceados Nacional"
"CFMPRIGMCG","9596","Balanceados Nacional"
"CFMPRIGMCH","9596","Balanceados Nacional"
"CFMPRIGMCK","9596","Balanceados Nacional"
"CFMPRIGMCP","9596","Balanceados Nacional"
"CFMPRILAEG","8098","RV Nacional"
"CFMPRILAEH","8098","RV Nacional"
"CFMPRILAEK","8098","RV Nacional"
"CFMPRILAEP","8098","RV Nacional"
"CFMPRILATB","8098","RV Nacional"
"CFMPRILATO","8098","RV Nacional"
"CFMPRILTGL","8098","RV Nacional"
"CFMPRILTIV","8098","RV Nacional"
"CFMPRILTPT","8098","RV Nacional"
"CFMPRIMAGL","8824","Balanceados Nacional"
"CFMPRIMAI2","8824","Balanceados Nacional"
"CFMPRIMAIV","8824","Balanceados Nacional"
"CFMPRIMAPT","8824","Balanceados Nacional"
"CFMPRIMCGL","9596","Balanceados Nacional"
"CFMPRIMCIV","9596","Balanceados Nacional"
"CFMPRIMCPT","9596","Balanceados Nacional"
"CFMPRIPEGL","9033","RF Nacional"
"CFMPRIPEIV","9033","RF Nacional"
"CFMPRIPEPT","9033","RF Nacional"
"CFMPRIPERB","9033","RF Nacional"
"CFMPRIPERG","9033","RF Nacional"
"CFMPRIPERH","9033","RF Nacional"
"CFMPRIPERK","9033","RF Nacional"
"CFMPRIPERO","9033","RF Nacional"
"CFMPRIPERP","9033","RF Nacional"
"CFMPRIPRGB","8089","RF Nacional"
"CFMPRIPRGG","8089","RF Nacional"
"CFMPRIPRGH","8089","RF Nacional"
"CFMPRIPRGK","8089","RF Nacional"
"CFMPRIPRGL","8089","RF Nacional"
"CFMPRIPRGO","8089","RF Nacional"
"CFMPRIPRGP","8089","RF Nacional"
"CFMPRIPRIV","8089","RF Nacional"
"CFMPRIPRPT","8089","RF Nacional"
"CFMPRIREMB","8619","RF Nacional"
"CFMPRIREMG","8619","RF Nacional"
"CFMPRIREMO","8619","RF Nacional"
"CFMPRIUFGL","9597","RF Nacional"
"CFMPRIUFIV","9597","RF Nacional"
"CFMPRIUFPT","9597","RF Nacional"
"CFMPRIUSAB","8113","RV Nacional"
"CFMPRIUSAG","8113","RV Nacional"
"CFMPRIUSAH","8113","RV Nacional"
"CFMPRIUSAK","8113","RV Nacional"
"CFMPRIUSAO","8113","RV Nacional"
"CFMPRIUSAP","8113","RV Nacional"
"CFMPRIUSGL","8113","RV Nacional"
"CFMPRIUSIV","8113","RV Nacional"
"CFMPRIUSPT","8113","RV Nacional"
"CFMPRIVIGL","8011","RF Nacional"
"CFMPRIVIIV","8011","RF Nacional"
"CFMPRIVIPT","8011","RF Nacional"
"CFMPRIVISB","8011","RF Nacional"
"CFMPRIVISG","8011","RF Nacional"
"CFMPRIVISH","8011","RF Nacional"
"CFMPRIVISI","8011","RF Nacional"
"CFMPRIVISK","8011","RF Nacional"
"CFMPRIVISO","8011","RF Nacional"
"CFMPRIVISP","8011","RF Nacional"
"CFMSECA35B","9608","Balanceados Nacional"
"CFMSECA35J","9608","Balanceados Nacional"
"CFMSECA45B","9609","Balanceados Nacional"
"CFMSECA45J","9609","Balanceados Nacional"
"CFMSECA55B","9610","Balanceados Nacional"
"CFMSECA55J","9610","Balanceados Nacional"
"CFMSECAEMA","8820","RV Nacional"
"CFMSECAEMH","8820","RV Nacional"
"CFMSECAEMJ","8820","RV Nacional"
"CFMSECAEMS","8820","RV Nacional"
"CFMSECASEB","8820","RV Nacional"
"CFMSECCORA","8806","RF Nacional"
"CFMSECCORB","8806","RF Nacional"
"CFMSECCORH","8806","RF Nacional"
"CFMSECCORJ","8806","RF Nacional"
"CFMSECCORS","8806","RF Nacional"
"CFMSECDCLA","8940","RF Nacional"
"CFMSECDCLH","8940","RF Nacional"
"CFMSECDCLJ","8940","RF Nacional"
"CFMSECDCLS","8940","RF Nacional"
"CFMSECDEIA","9655","RF Nacional"
"CFMSECDEIB","9655","RF Nacional"
"CFMSECDEIF","9655","RF Nacional"
"CFMSECDMMA","8384","RF Nacional"
"CFMSECDMMB","8384","RF Nacional"
"CFMSECDMMC","8384","RF Nacional"
"CFMSECDMMS","8384","RF Nacional"
"CFMSECDVAB","8940","RF Nacional"
"CFMSECEQUA","8336","Balanceados Nacional"
"CFMSECEQUB","8336","Balanceados Nacional"
"CFMSECEQUH","8336","Balanceados Nacional"
"CFMSECEQUJ","8336","Balanceados Nacional"
"CFMSECEQUS","8336","Balanceados Nacional"
"CFMSECFIRA","8055","RF Nacional"
"CFMSECFISS","8055","RF Nacional"
"CFMSECFSTB","8055","RF Nacional"
"CFMSECGLDA","8118","RF Nacional"
"CFMSECGLDB","8118","RF Nacional"
"CFMSECGLDH","8118","RF Nacional"
"CFMSECGLDJ","8118","RF Nacional"
"CFMSECGLDS","8118","RF Nacional"
"CFMSECIFCA","8912","RV Nacional"
"CFMSECIFCB","8912","RV Nacional"
"CFMSECIFCD","8912","RV Nacional"
"CFMSECIFCS","8912","RV Nacional"
"CFMSECIFUA","8987","RV Nacional"
"CFMSECIFUB","8987","RV Nacional"
"CFMSECIFUH","8987","RV Nacional"
"CFMSECIFUJ","8987","RV Nacional"
"CFMSECIFUS","8987","RV Nacional"
"CFMSECLATA","8795","RV Nacional"
"CFMSECLATB","8795","RV Nacional"
"CFMSECLATH","8795","RV Nacional"
"CFMSECLATI","8795","RV Nacional"
"CFMSECLATJ","8795","RV Nacional"
"CFMSECMRMA","8881","RF Nacional"
"CFMSECMRMB","8881","RF Nacional"
"CFMSECMTGA","9712","RF Nacional"
"CFMSECMTGB","9712","RF Nacional"
"CFMSECMTGF","9712","RF Nacional"
"CFMSECMTGS","9712","RF Nacional"
"CFMSECMTMH","8881","RF Nacional"
"CFMSECMTMJ","8881","RF Nacional"
"CFMSECMTMS","8881","RF Nacional"
"CFMSECMTUH","8986","RF Nacional"
"CFMSECMTUS","8986","RF Nacional"
"CFMSECPLUA","8253","RF Nacional"
"CFMSECPLUB","8253","RF Nacional"
"CFMSECPLUC","8253","RF Nacional"
"CFMSECPLUD","8253","RF Nacional"
"CFMSECPLUE","8253","RF Nacional"
"CFMSECPLUI","8253","RF Nacional"
"CFMSECPLUS","8253","RF Nacional"
"CFMSECPROA","8306","Balanceados Nacional"
"CFMSECPROB","8306","Balanceados Nacional"
"CFMSECPROH","8306","Balanceados Nacional"
"CFMSECPROJ","8306","Balanceados Nacional"
"CFMSECPROS","8306","Balanceados Nacional"
"CFMSECRDCA","8986","RF Nacional"
"CFMSECRDCB","8986","RF Nacional"
"CFMSECRETA","8435","Balanceados Nacional"
"CFMSECRETB","8435","Balanceados Nacional"
"CFMSECRETH","8435","Balanceados Nacional"
"CFMSECRETJ","8435","Balanceados Nacional"
"CFMSECRETS","8435","Balanceados Nacional"
"CFMSECSCLS","8795","RV Nacional"
"CFMSRDCAFP","8678","RF Nacional"
"CFMSTDACC3","8076","RV Nacional"
"CFMSTDACCG","8076","RV Nacional"
"CFMSTDACCI","8076","RV Nacional"
"CFMSTDACHE","8076","RV Nacional"
"CFMSTDACHI","8076","RV Nacional"
"CFMSTDACHM","8076","RV Nacional"
"CFMSTDACHU","8076","RV Nacional"
"CFMSTDACL3","8160","RV Nacional"
"CFMSTDACLG","8160","RV Nacional"
